id_estadia,id_huesped,calificacion,comentario
126,491,4.9,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
127,461,4.8,Praesent blandit lacinia erat.
128,119,2.2,Morbi non quam nec dui luctus rutrum. Nulla tellus.
129,475,1.1,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
130,364,2.8,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
131,706,3.9,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
132,872,4.6,Quisque porta volutpat erat.
133,897,2.7,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.
134,640,2.4,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
135,90,1.3,Morbi vel lectus in quam fringilla rhoncus.
136,905,2.0,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla."
137,722,4.4,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.
138,564,4.1,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.
139,464,3.1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
140,576,1.1,In blandit ultrices enim.
141,512,4.2,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy."
142,35,3.1,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.
143,780,5.0,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
144,219,2.7,Etiam vel augue. Vestibulum rutrum rutrum neque.
145,21,4.6,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
146,97,4.9,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
147,691,4.9,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
148,179,1.2,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus."
149,148,2.6,In blandit ultrices enim.
150,389,2.6,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
151,260,1.7,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.
152,398,3.6,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
153,473,4.0,Morbi quis tortor id nulla ultrices aliquet.
154,627,5.0,Proin at turpis a pede posuere nonummy. Integer non velit.
155,82,3.9,Proin eu mi.
156,162,1.8,Fusce consequat.
157,941,2.0,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
158,387,1.9,Sed accumsan felis. Ut at dolor quis odio consequat varius.
159,684,4.1,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.
160,985,1.8,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
161,357,2.1,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
162,678,1.3,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
163,32,3.7,Integer ac leo.
164,316,4.0,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis."
165,402,1.6,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
166,603,3.7,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis."
167,710,4.0,In sagittis dui vel nisl. Duis ac nibh.
168,75,2.5,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
169,35,1.3,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam."
170,855,4.8,Aliquam erat volutpat. In congue. Etiam justo.
171,410,3.9,Morbi non quam nec dui luctus rutrum.
172,568,1.8,Praesent blandit. Nam nulla.
173,150,4.5,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
174,443,1.6,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique."
175,911,4.1,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim."
176,281,4.7,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis."
177,55,1.7,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
178,553,1.1,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
179,474,4.9,Aenean fermentum.
180,385,1.5,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.
181,477,2.9,In congue. Etiam justo. Etiam pretium iaculis justo.
182,672,1.9,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.
183,637,2.6,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
184,2,4.9,Morbi non quam nec dui luctus rutrum.
185,422,3.8,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
186,464,3.6,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum."
187,664,2.2,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti."
188,882,4.2,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.
189,846,1.9,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
190,465,2.8,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
191,876,4.5,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
192,712,4.5,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique."
193,609,2.3,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum."
194,20,4.3,"In est risus, auctor sed, tristique in, tempus sit amet, sem."
195,648,4.3,Morbi non quam nec dui luctus rutrum.
196,629,2.9,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
197,298,2.1,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
198,336,3.7,Nullam molestie nibh in lectus.
199,362,3.3,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
200,550,4.9,In eleifend quam a odio. In hac habitasse platea dictumst.
201,245,1.9,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
202,776,1.2,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus."
203,91,2.0,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
204,578,2.3,Nulla nisl. Nunc nisl.
205,617,3.8,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
206,609,3.7,Curabitur convallis.
207,856,4.0,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc."
208,913,1.8,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus."
209,31,3.7,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
210,316,4.7,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
211,346,2.5,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum."
212,230,3.3,Integer a nibh. In quis justo.
213,268,1.8,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
214,54,3.2,Maecenas ut massa quis augue luctus tincidunt.
215,114,4.4,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
216,438,4.3,Nunc rhoncus dui vel sem.
217,398,2.8,Sed ante.
218,276,3.3,Curabitur at ipsum ac tellus semper interdum.
219,687,3.6,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
220,117,3.8,Integer a nibh.
221,8,4.8,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
222,509,2.3,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
223,660,2.7,Proin risus.
224,900,4.3,Praesent blandit lacinia erat.
225,74,3.6,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
226,787,2.4,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
227,560,2.2,Nulla ut erat id mauris vulputate elementum. Nullam varius.
228,492,4.8,Maecenas pulvinar lobortis est. Phasellus sit amet erat.
229,140,1.8,Nullam sit amet turpis elementum ligula vehicula consequat.
230,978,3.6,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
231,758,3.7,Integer tincidunt ante vel ipsum.
232,670,2.9,Vivamus in felis eu sapien cursus vestibulum.
233,968,1.9,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
234,749,3.9,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.
235,971,4.9,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.
236,934,3.9,Phasellus in felis.
237,468,3.0,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
238,892,3.3,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla."
239,835,1.6,Nullam sit amet turpis elementum ligula vehicula consequat.
240,273,1.0,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
241,378,3.5,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
242,685,4.7,Vivamus tortor.
243,295,2.7,Aenean fermentum.
244,407,3.1,Curabitur in libero ut massa volutpat convallis.
245,879,4.9,Pellentesque ultrices mattis odio.
246,3,3.4,Maecenas rhoncus aliquam lacus.
247,830,3.9,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque."
248,40,2.4,Nulla ut erat id mauris vulputate elementum.
249,665,3.7,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
250,346,1.5,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum."
251,225,3.4,Phasellus in felis. Donec semper sapien a libero. Nam dui.
252,374,4.5,Pellentesque at nulla.
253,892,2.6,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
254,805,2.1,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
255,362,3.2,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
256,226,2.6,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.
257,298,4.8,Fusce consequat.
258,41,2.4,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
259,312,4.2,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
260,174,4.5,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus."
261,635,3.7,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
262,153,4.4,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.
263,644,3.1,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
264,904,1.9,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
265,821,3.3,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est."
266,519,3.8,Aliquam erat volutpat. In congue. Etiam justo.
267,932,2.1,Pellentesque eget nunc.
268,448,1.4,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
269,677,2.8,Nam dui.
270,643,3.8,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.
271,598,2.6,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
272,463,3.6,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
273,963,1.5,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
274,419,4.0,Suspendisse accumsan tortor quis turpis.
275,383,4.1,In hac habitasse platea dictumst.
276,430,5.0,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.
277,796,2.9,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.
278,562,3.2,Aenean lectus.
279,329,4.5,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
